"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_NW0001","ACCT_NW0002","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003"
187,3/31/2020 0:00:00,100,494000,0,634156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494000,0,0,0,494000,102723,0,0,0,0,0,0,0,0,0,0,20496038,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
195,3/31/2020 0:00:00,104,0,0,136215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10211171,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
196,3/31/2020 0:00:00,105,0,3604607,28202300,8076531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86921235,20909818,43336519,63839237,9493100,224499909,0,0,0,0,0,0,14911894,4050246,0,0,0,0,0,0,0,0,0,2120533607,5,370227,185113,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
198,3/31/2020 0:00:00,107,1000000,0,120658,0,0,0,0,3161510,0,0,0,0,3161510,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,1000000,0,0,47814,0,0,0,0,0,0,0,0,34799731,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
199,3/31/2020 0:00:00,108,1977237,29879702,3017765,487049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303181,3415939,6427973,5068689,0,15215782,237,1236000,741000,0,0,1977237,0,615686,0,0,0,0,0,0,0,0,0,169561283,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
200,3/31/2020 0:00:00,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6900242,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
205,3/31/2020 0:00:00,112,4882853,2817539,751970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1404298,4516443,4357098,0,0,10277839,500000,2763901,1618952,0,0,4882853,0,139963,0,0,0,0,0,0,79455,0,0,123814940,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
216,3/31/2020 0:00:00,116,0,1607339,825401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123199,0,0,0,0,0,0,0,0,0,0,71538777,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
220,3/31/2020 0:00:00,117,44,5960183,139773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,44,0,0,0,0,0,0,0,0,0,0,0,26480309,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
224,3/31/2020 0:00:00,119,4211000,0,7548218,256276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674102,2758204,2327180,0,0,5759486,989000,3222000,0,0,0,4211000,0,46163,0,0,0,0,0,0,0,0,0,110755687,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
227,3/31/2020 0:00:00,121,0,185534116,19059064,8477254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469175740,920414063,460352860,314122986,0,2164065649,0,0,0,0,0,0,110863635,33403609,0,0,0,0,0,0,0,79679,0,22443001567,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
233,3/31/2020 0:00:00,124,0,7554240,3120489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3107505,3453386,5512201,4509743,772304,17355139,0,0,0,0,0,0,149567,6967,0,0,0,0,0,0,66710,0,0,161909549,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
234,3/31/2020 0:00:00,125,11698000,0,158284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2237000,6221000,3240000,0,0,11698000,0,0,0,0,0,0,0,0,0,0,0,68416710,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
240,3/31/2020 0:00:00,128,1267458,0,256832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267458,0,0,0,0,1267458,0,0,0,0,0,0,0,0,0,0,0,58359142,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
242,3/31/2020 0:00:00,129,0,0,2296636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2035593,4520400,1314415,0,0,7870408,0,0,0,0,0,0,838899,84133,0,0,0,0,0,0,0,0,0,85746723,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
256,3/31/2020 0:00:00,136,0,32714189,2374366,365415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31710869,2140951,3457154,18202891,3101507,58613372,0,0,0,0,0,0,519866,540043,0,0,0,0,0,0,0,24290,0,228125721,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
258,3/31/2020 0:00:00,137,41234717,18801718,1117765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21595,0,0,0,0,21595,10782959,11489207,17637376,1325175,0,41234717,0,149,0,0,0,0,0,0,0,0,0,240539599,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
262,3/31/2020 0:00:00,139,0,0,730656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3832707,12988453,4915577,3665651,0,25402388,0,0,0,0,0,0,0,517178,0,0,0,0,0,0,0,41028,0,61258953,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
264,3/31/2020 0:00:00,141,496000,0,778880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3613915,5963135,2159558,2003595,0,13740203,248000,248000,0,0,0,496000,0,75322,0,0,0,0,0,0,0,0,0,89672558,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
266,3/31/2020 0:00:00,143,52441832,1565257,1439512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9836319,31904959,10700554,0,0,52441832,1474,0,0,0,0,0,0,0,0,0,0,221373262,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
274,3/31/2020 0:00:00,149,0,0,1900410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675815,0,0,0,0,0,0,0,0,0,0,127853778,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
275,3/31/2020 0:00:00,150,3076000,0,375104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1736000,1340000,0,0,0,3076000,0,0,0,0,0,0,0,0,0,0,0,20982362,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
276,3/31/2020 0:00:00,151,0,0,297893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15827963,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
277,3/31/2020 0:00:00,152,0,25868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150286,253176,840288,574455,0,1818205,0,0,0,0,0,0,0,-11795,0,0,0,0,0,0,0,0,0,1636374,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
